L1
0;20;inf;30;inf;inf;inf;
20;0;30;20;inf;inf;inf;
inf;inf;0;inf;35;inf;inf;
inf;20;15;0;35;10;15;
inf;inf;inf;20;0;inf;inf;
inf;inf;inf;10;15;0;15;
35;inf;inf;15;inf;15;0;
L2
0;20;45;30;65;40;45;
20;0;30;20;55;30;35;
inf;inf;0;55;35;inf;inf;
40;20;15;0;25;10;15;
inf;40;35;20;0;30;35;
50;30;25;10;15;0;15;
35;35;30;15;30;15;0;
L3
0;20;45;30;55;40;45;
20;0;30;20;45;30;35;
inf;75;0;55;35;65;70;
40;20;15;0;25;10;15;
60;40;35;20;0;30;35;
50;30;25;10;15;0;15;
35;35;30;15;30;15;0;
L4
0;20;45;30;55;40;45;
20;0;30;20;45;30;35;
95;75;0;55;35;65;70;
40;20;15;0;25;10;15;
60;40;35;20;0;30;35;
50;30;25;10;15;0;15;
35;35;30;15;30;15;0;
L5
0;20;45;30;55;40;45;
20;0;30;20;45;30;35;
95;75;0;55;35;65;70;
40;20;15;0;25;10;15;
60;40;35;20;0;30;35;
50;30;25;10;15;0;15;
35;35;30;15;30;15;0;
G
inf;20;inf;30;inf;inf;inf;
20;inf;30;20;inf;inf;inf;
inf;inf;inf;inf;35;inf;inf;
inf;20;15;inf;35;10;15;
inf;inf;inf;20;inf;inf;inf;
inf;inf;inf;10;15;inf;15;
35;inf;inf;15;inf;15;inf;
D
B;B;D;D;D;D;D;
A;A;C;D;D;D;D;
E;E;E;E;E;E;E;
B;B;C;F;F;F;G;
D;D;D;D;D;D;D;
D;D;D;D;E;D;G;
A;D;D;D;F;F;D;
